"商品ID","会員ID／社員記号","管理番号","商品番号","グルーピング","大カテゴリ","中カテゴリ","分類１","分類２","分類３","分類４","分類５","分類６","分類７","分類８","分類９","分類１０","分類１１","分類１２","分類１３","分類１４","分類１５","分類１６","分類１７","分類１８","分類１９","分類２０","商品名","表示商品名","指値","定価","買取方法","買取店舗","買取担当者","買取日","買取価格","買取取引先","出品ステータス","結果ステータス","落札価格","落札日","落札ID","見込価格","出品日","出品場所","目玉ステータス","見込粗利","粗利益率","修繕費","実売粗利","売価予実差異金額","棚（箱）番号","移動先","移動日","移動責任者","移動理由","精算ステータス","精算ステータス変更者","支払ステータス","支払ステータス変更者","配送ステータス","配送ステータス変更者","配送日","一覧-メイン画像","詳細-メイン画像","詳細-メイン拡大画像","登録NO","登録日","更新NO","更新日","サブカテゴリ","スタート値","分類２１","分類２２","分類２３","分類２４","分類２５","ジャンル課見込価格","商品ランク","付属品管理番号１","付属品管理番号２"
"","101","XH005155","0001","","3","アウター","","モンクレール","","","","","","","","","","","","","","","","","","","モンクレール ナイロン ダウンコート 1 ベージュ ジップ破損","モンクレール ナイロン ダウンコート 1 ベージュ ジップ破損","","","0.店頭買取","06.NANBOYA銀座店_E","佐藤 佳太","2019-08-18 00:00:00","35000","","1","","","","","60000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","5000","ＡＢ","",""
"","101","HV006962","0002","","3","トップス","","シャネル","","","","","","","","","","","","","","","","","","","シャネル コットン×レーヨン ニット 38 ブラック 草木柄 五分袖 タグ付 P47","シャネル コットン×レーヨン ニット 38 ブラック 草木柄 五分袖 タグ付 P47","","","0.店頭買取","14.NANBOYA心斎橋店_W","森豊 遼平","2017-10-29 00:00:00","45000","","1","","","","","70000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","30000","Ｓ","",""
"","101","PX008113","0003","","3","ワンピース","","ミュウミュウ","","","","","","","","","","","","","","","","","","","ヴィトン レーヨン ワンピース 34 ブルー レーヨン","ヴィトン レーヨン ワンピース 34 ブルー レーヨン","","","0.店頭買取","95.BRAND CONCIER新宿店_E","青 佳吾","2017-10-16 00:00:00","20000","","1","","","","","30000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","10000","Ｂ","",""
"","101","PX008118","0004","","3","ボトムス","","ミュウミュウ","","","","","","","","","","","","","","","","","","","ミュウミュウ レーヨン スカート サイズ36 ブラック","ミュウミュウ レーヨン スカート サイズ36 ブラック","","","0.店頭買取","95.BRAND CONCIER新宿店_E","青 佳吾","2017-10-16 00:00:00","4000","","1","","","","","8000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","6000","Ａ","",""
"","101","SE011250","0005","","3","その他","","エルメス","","","","","","","","","","","","","","","","","","","エルメス コットン×リネン ニット M ネイビー","エルメス コットン×リネン ニット M ネイビー","","","0.店頭買取","61.NANBOYA札幌パセオ店_E","寒河江 哲","2017-10-08 00:00:00","5500","","1","","","","","8000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","6000","Ａ","",""
"","101","HV006965","0006","","3","ワンピース","","シャネル","","","","","","","","","","","","","","","","","","","シャネル コットン ワンピース サイズ：34 ブラック 06A 段フリル","シャネル コットン ワンピース サイズ：34 ブラック 06A 段フリル","","","0.店頭買取","14.NANBOYA心斎橋店_W","森豊 遼平","2017-10-29 00:00:00","34000","","1","","","","","40000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","38000","Ａ","",""
"","101","DZ000238","0007","","3","アウター","","","","","","","","","","","","","","","","","","","","","J&Mデヴィッドソン コットン ショートコート サイズS ブラック","J&Mデヴィッドソン コットン ショートコート サイズS ブラック","","","2.宅配買取","TE.NANBOYA宅配_関東_E","平野 亜美","2017-10-22 00:00:00","2000","","1","","","","","3000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","4000","ＡＢ","",""
"","101","DZ000233","0008","","3","ワンピース","","マックスマーラ","","","","","","","","","","","","","","","","","","","マックスマーラ トリアセテート ワンピース 38 ネイビー ドレス","マックスマーラ トリアセテート ワンピース 38 ネイビー ドレス","","","2.宅配買取","TE.NANBOYA宅配_関東_E","平野 亜美","2017-10-22 00:00:00","1800","","1","","","","","3000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","3000","Ａ","",""
"","101","A0061651","0009","","3","トップス","","ルイ・ヴィトン","","","","","","","","","","","","","","","","","","","ヴィトン コットン シャツ L ブラック グラフィット","ヴィトン コットン シャツ L ブラック グラフィット","","","0.店頭買取","56.NANBOYA銀座数寄屋橋店_E","原 侑也","2019-10-07 00:00:00","10000","","1","","","","","12000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","16000","ＡＢ","",""
"","101","WU004762","0010","","3","トップス","","ジバンシィ","","","","","","","","","","","","","","","","","","","ジバンシィ コットン Tシャツ XL ブラック ロゴ","ジバンシィ コットン Tシャツ XL ブラック ロゴ","","","0.店頭買取","14.NANBOYA心斎橋店_W","森本 卓誠","2019-10-08 00:00:00","16000","","1","","","","","20000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","14000","Ｂ","",""
"","101","WU004763","0011","","3","トップス","","サンローラン","","","","","","","","","","","","","","","","","","","サンローランパリ コットン Tシャツ XS ブラック リップシガープリント","サンローランパリ コットン Tシャツ XS ブラック リップシガープリント","","","0.店頭買取","14.NANBOYA心斎橋店_W","森本 卓誠","2019-10-08 00:00:00","4000","","1","","","","","5000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","12000","Ｂ","",""
"","101","FU026206","0012","","3","トップス","","バレンシアガ","","","","","","","","","","","","","","","","","","","バレンシアガ コットン パーカー M ホワイト","バレンシアガ コットン パーカー M ホワイト","","","2.宅配買取","TE.NANBOYA宅配_関東_E","藤村 悠介","2019-10-08 00:00:00","22000","","1","","","","","35000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","35000","Ｂ","",""
"","101","FU026209","0013","","3","トップス","","グッチ","","","","","","","","","","","","","","","","","","","グッチ コットン Tシャツ L ホワイト ミスティックキャット","グッチ コットン Tシャツ L ホワイト ミスティックキャット","","","2.宅配買取","TE.NANBOYA宅配_関東_E","藤村 悠介","2019-10-08 00:00:00","7000","","1","","","","","12000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","20000","Ｂ","",""
"","101","TU033798","0014","","3","トップス","","プラダスポーツ","","","","","","","","","","","","","","","","","","","プラダスポーツ コットン パーカー M ブラック","プラダスポーツ コットン パーカー M ブラック","","","2.宅配買取","TE.NANBOYA宅配_関東_E","常見 雅也","2019-10-09 00:00:00","3000","","1","","","","","5000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","5000","Ｂ","",""
"","101","BW007483","0015","","3","アウター","","マッキントッシュ","","","","","","","","","","","","","","","","","","","マッキントッシュ ウール ダッフルコート 36 ベージュ","マッキントッシュ ウール ダッフルコート 36 ベージュ","","","0.店頭買取","31.NANBOYA栄店【名古屋】_W","稲山 裕亮","2019-10-09 00:00:00","11000","","1","","","","","15000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","12000","ＡＢ","",""
"","101","HV018489","0016","","3","トップス","","","","","","","","","","","","","","","","","","","","","イッセイミヤケ コットン シャツ M ブラウン","イッセイミヤケ コットン シャツ M ブラウン","","","0.店頭買取","13.NANBOYA京都店_W","森豊 遼平","2019-10-09 00:00:00","800","","1","","","","","2000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","3000","ＡＢ","",""
"","101","IY015278","0017","","3","アウター","","モンクレール","","","","","","","","","","","","","","","","","","","モンクレール ポリエステル ダウンジャケット 14 グリーン HIHIURA","モンクレール ポリエステル ダウンジャケット 14 グリーン HIHIURA","","","0.店頭買取","08.NANBOYA天王寺あべの店_W","有本 裕司","2019-10-09 00:00:00","66000","","1","","","","","70000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","43000","Ａ","",""
