"商品ID","会員ID／社員記号","管理番号","商品番号","グルーピング","大カテゴリ","中カテゴリ","分類１","分類２","分類３","分類４","分類５","分類６","分類７","分類８","分類９","分類１０","分類１１","分類１２","分類１３","分類１４","分類１５","分類１６","分類１７","分類１８","分類１９","分類２０","商品名","表示商品名","指値","定価","買取方法","買取店舗","買取担当者","買取日","買取価格","買取取引先","出品ステータス","結果ステータス","落札価格","落札日","落札ID","見込価格","出品日","出品場所","目玉ステータス","見込粗利","粗利益率","修繕費","実売粗利","売価予実差異金額","棚（箱）番号","移動先","移動日","移動責任者","移動理由","精算ステータス","精算ステータス変更者","支払ステータス","支払ステータス変更者","配送ステータス","配送ステータス変更者","配送日","一覧-メイン画像","詳細-メイン画像","詳細-メイン拡大画像","登録NO","登録日","更新NO","更新日","サブカテゴリ","スタート値","分類２１","分類２２","分類２３","分類２４","分類２５","ジャンル課見込価格","商品ランク","付属品管理番号１","付属品管理番号２"
"","101","PF021240","1001","","2","","","","","","","","","","","","","","","","","","","","","","ダイヤ リング Pt900 4.1g 0.70","ダイヤ リング Pt900 4.1g 0.70","","","0.店頭買取","47.NANBOYA浜松店_W","真鍋 優太","2019-09-28 00:00:00","17000","","1","","","","","23000","2019-11-13 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","3","","","","","","","25000","","",""
"","101","XY006954","1002","","2","","","","","","","","","","","","","","","","","","","","","","ダイヤ ネックレス K10WG 11.0g 0.227 石目保証なし","ダイヤ ネックレス K10WG 11.0g 0.227 石目保証なし","","","XY.セット商品","XY.セット商品","","2019-10-01 00:00:00","26000","","1","","","","","40564","2019-11-13 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","3","","","","","","","35000","","",""
"","101","XY006951","1003","","2","","","","","","","","","","","鑑定書","","","","","","","","","","","ダイヤ リング Pt900 3.8g 0.263 E VS1 3EX H&C SB ネーム","ダイヤ リング Pt900 3.8g 0.263 E VS1 3EX H&C SB ネーム","","","XY.セット商品","XY.セット商品","","2019-10-01 00:00:00","40995","","1","","","","","44821","2019-11-13 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","3","","","","","","","30000","","XY006951-1",""
"","101","XO006265","1004","","2","リング","","","","","","","","","","","","","","","","","","","","","エメラルド ダイヤ リング Pt900 6.8g 0910 D057","エメラルド ダイヤ リング Pt900 6.8g 0910 D057","","","0.店頭買取","32.NANBOYA立川店_E","山? 英吉","2019-09-27 00:00:00","40000","","1","","","","","50000","2019-11-13 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","3","","","","","","","36000","","",""
"","101","PG026375","1005","","2","ピアス・イアリング","","","","","","","","","","","","","","","","","","","","","マベパール イヤリング K14 総6.5g","マベパール イヤリング K14 総6.5g","","","0.店頭買取","06.NANBOYA銀座店_E","深海 孝誕","2019-09-28 00:00:00","10000","","1","","","","","15000","2019-11-13 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","3","","","","","","","15000","","",""
"","101","A0056848","1006","","2","リング","","","","","","","","","","","","","","","","","","","","","オパール ダイヤ リング Pt900 7.8g 350 057","オパール ダイヤ リング Pt900 7.8g 350 057","","","0.店頭買取","70.NANBOYANAMBAなんなん店_W","高橋 幸恵","2019-09-28 00:00:00","22000","","1","","","","","24000","2019-11-13 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","3","","","","","","","35000","","",""
"","101","YC011552","1007","","2","リング","","","","","","","","","","","","","","","","","","","","","パール ダイヤ リング Pt900 10.7g D0192 12.0mm","パール ダイヤ リング Pt900 10.7g D0192 12.0mm","","","0.店頭買取","08.NANBOYA天王寺あべの店_W","山本 悠貴","2019-09-28 00:00:00","20000","","1","","","","","30000","2019-11-13 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","3","","","","","","","30000","","",""
"","101","A0056242","1008","","2","ネックレス","","","","","","","","","","","","","","","","","","","","","色石 ダイヤ ネックレス K18WG×750 8.7g T0.45 0.60 D0.18","色石 ダイヤ ネックレス K18WG×750 8.7g T0.45 0.60 D0.18","","","0.店頭買取","78.NANBOYA浦和CORSO店_E","大柳 浩行","2019-09-27 00:00:00","36000","","1","","","","","40000","2019-11-13 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","3","","","","","","","42000","","",""
"","101","A0056407","1009","","2","リング","","","","","","","","","","","","","","","","","","","","","色石 ダイヤ リング K18×Pt900 11.7g 0.20","色石 ダイヤ リング K18×Pt900 11.7g 0.20","","","0.店頭買取","56.NANBOYA銀座数寄屋橋店_E","今村 星順","2019-09-27 00:00:00","35000","","1","","","","","42833","2019-11-13 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","3","","","","","","","50000","","",""
"","101","EX013602","1010","","2","ピアス・イアリング","","","","","","","","","","","","","","","","","","","","","ダイヤ ピアス K18WG 総4.1g D0.50 D0.50","ダイヤ ピアス K18WG 総4.1g D0.50 D0.50","","","0.店頭買取","73.NANBOYA阪神梅田駅前店_W","荒谷 京平","2019-09-27 00:00:00","3000","","1","","","","","40000","2019-11-13 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","3","","","","","","","25000","","",""
